,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
9,10.0,Denver Broncos,16.0,347.0,5487.0,1112.0,4.9,31.0,18.0,346.0,388.0,626.0,4017.0,18.0,13.0,5.9,202.0,431.0,1470.0,19.0,3.4,101.0,101.0,865.0,43.0,,
10,11.0,Buffalo Bills,16.0,340.0,5244.0,1066.0,4.9,34.0,13.0,319.0,342.0,542.0,3413.0,23.0,21.0,5.9,181.0,483.0,1831.0,14.0,3.8,107.0,92.0,631.0,31.0,,
11,12.0,Cleveland Browns,16.0,340.0,4832.0,970.0,5.0,35.0,14.0,273.0,266.0,507.0,3175.0,20.0,21.0,6.1,161.0,449.0,1657.0,12.0,3.7,80.0,113.0,969.0,32.0,,
12,13.0,Washington Redskins,16.0,320.0,4793.0,974.0,4.9,40.0,13.0,269.0,271.0,546.0,3378.0,25.0,27.0,6.0,166.0,407.0,1415.0,5.0,3.5,79.0,88.0,730.0,24.0,,
13,14.0,Kansas City Chiefs,16.0,319.0,5692.0,1098.0,5.2,26.0,12.0,322.0,366.0,615.0,3960.0,20.0,14.0,6.2,211.0,464.0,1732.0,12.0,3.7,97.0,127.0,911.0,14.0,,
14,15.0,Atlanta Falcons,16.0,317.0,5361.0,996.0,5.4,36.0,11.0,302.0,374.0,629.0,4112.0,25.0,25.0,6.2,218.0,330.0,1249.0,8.0,3.8,63.0,119.0,934.0,21.0,,
15,16.0,Pittsburgh Steelers,16.0,316.0,5144.0,1048.0,4.9,17.0,8.0,307.0,266.0,463.0,2964.0,17.0,9.0,5.9,148.0,546.0,2180.0,15.0,4.0,138.0,119.0,974.0,21.0,,
16,17.0,Philadelphia Eagles,16.0,308.0,5125.0,1046.0,4.9,26.0,12.0,293.0,316.0,566.0,3364.0,18.0,14.0,5.5,168.0,432.0,1761.0,14.0,4.1,103.0,138.0,1107.0,22.0,,
17,18.0,Indianapolis Colts,16.0,307.0,4413.0,899.0,4.9,31.0,17.0,252.0,217.0,376.0,2353.0,15.0,14.0,5.8,126.0,495.0,2060.0,15.0,4.2,108.0,82.0,658.0,18.0,,
18,19.0,Los Angeles Raiders,16.0,303.0,4779.0,966.0,4.9,30.0,14.0,267.0,281.0,488.0,3267.0,22.0,16.0,6.1,158.0,428.0,1512.0,7.0,3.5,87.0,156.0,1186.0,22.0,,
19,20.0,Seattle Seahawks,16.0,287.0,4652.0,1018.0,4.6,28.0,19.0,285.0,253.0,498.0,2568.0,13.0,9.0,4.8,143.0,480.0,2084.0,16.0,4.3,114.0,114.0,898.0,28.0,,
20,21.0,Los Angeles Rams,16.0,286.0,4747.0,944.0,5.0,31.0,13.0,274.0,291.0,512.0,3358.0,23.0,18.0,6.1,163.0,397.0,1389.0,6.0,3.5,80.0,112.0,922.0,31.0,,
21,22.0,New York Giants,16.0,279.0,4316.0,976.0,4.4,25.0,7.0,263.0,226.0,405.0,2562.0,16.0,18.0,5.7,136.0,525.0,1754.0,12.0,3.3,103.0,92.0,818.0,24.0,,
22,23.0,Cincinnati Bengals,16.0,276.0,4792.0,990.0,4.8,41.0,22.0,267.0,289.0,542.0,3236.0,21.0,19.0,5.5,158.0,404.0,1556.0,5.0,3.9,84.0,90.0,618.0,25.0,,
23,24.0,Chicago Bears,16.0,271.0,4679.0,1014.0,4.6,26.0,10.0,274.0,308.0,502.0,3091.0,19.0,16.0,5.9,165.0,487.0,1588.0,10.0,3.3,88.0,65.0,503.0,21.0,,
24,25.0,New York Jets,16.0,264.0,4703.0,983.0,4.8,28.0,10.0,265.0,310.0,539.0,3137.0,18.0,18.0,5.5,164.0,416.0,1566.0,8.0,3.8,90.0,95.0,754.0,11.0,,
25,26.0,Tampa Bay Buccaneers,16.0,251.0,4754.0,951.0,5.0,23.0,7.0,276.0,271.0,491.0,3265.0,17.0,16.0,6.3,149.0,430.0,1489.0,8.0,3.5,104.0,93.0,805.0,23.0,,
26,27.0,Arizona Cardinals,16.0,235.0,4607.0,1052.0,4.4,29.0,10.0,287.0,287.0,538.0,3047.0,11.0,19.0,5.3,169.0,480.0,1560.0,12.0,3.3,90.0,128.0,1090.0,28.0,,
27,28.0,Houston Oilers,16.0,226.0,4481.0,1036.0,4.3,42.0,25.0,278.0,274.0,554.0,2799.0,13.0,17.0,4.5,158.0,417.0,1682.0,10.0,4.0,97.0,115.0,959.0,23.0,,
28,,Avg Team,,324.1,5085.9,1019.4,5.0,29.7,12.8,297.6,312.1,537.7,3417.6,20.8,16.9,6.0,176.6,448.2,1668.2,12.1,3.7,97.0,103.9,837.0,24.0,,
29,,League Total,,9075.0,142404.0,28543.0,5.0,832.0,358.0,8333.0,8739.0,15056.0,95694.0,583.0,474.0,6.0,4945.0,12550.0,46710.0,340.0,3.7,2717.0,2908.0,23435.0,671.0,,
30,,Avg Tm/G,,20.3,317.9,63.7,5.0,1.9,0.8,18.6,19.5,33.6,213.6,1.3,1.1,6.0,11.0,28.0,104.3,0.8,3.7,6.1,6.5,52.3,1.5,,
